Case_ID,BUS__CODE,SCORE,A_EmployeeCount,A_GrossSales,A_ExtaxPurch,A_Resales,A_FoodCosts,A_LaborCosts,A_IOC,A_BadDebts,A_TOPP,A_SalesFinal,PriorAuditTax,PriorAuditHours,OwnCode,Status,Y_AuditResult
100000272,"A00126",76,,,,,,,,,,,,,"C","Established","Not_Success"
100000273,"A00121",30,,284000,1,2,0,33707,0,9,0,0,,,"S","Established","Not_Success"
100000274,"A00100",81,,9273523,8,101120,0,0,0,2,0,0,,,"C","Established","Success"
100000275,"A00139",52,,744552,78554,5,0,0,0,10,0,0,8,13,"C","Established","Not_Success"
100000276,"A0070",68,,4924513,12001,946756,3901119,0,0,2,0,0,101049,156,"S","Established","Not_Success"
100000277,"A00141",80,9,,,,,,,,,,20047,74,"C","Established","Not_Success"
100000278,"A0083",29,4,376750,8,5,164504,0,0,1,0,0,9,17,"S","Established","Not_Success"
100000279,"A00141",76,,,,,,,,,,,,,"C","Established","Not_Success"
100000280,"A00139",94,,23242609,24826,7817391,0,0,10022770,6,0,0,20893,196,"C","Established","Not_Success"
100000281,"A0069",31,,905346,4,5365,9541,348473,7241,4,0,0,,,"C","Established","Not_Success"
100000282,"A0065",59,,265321,2173885,9,0,0,36561,5,0,0,,,"C","Established","Not_Success"
100000283,"A0078",26,,853115,284531,394021,0,216420,0,6,0,0,,,"S","Established","Success"
100000284,"A0074",56,,6531650,1,10,2576391,0,0,4,0,0,6978,112,"P","Established","Not_Success"
100000285,"A00149",120,,,,,,,,,,,,,"C","Established","Not_Success"
100000286,"A00141",,,12287935,8,11289564,0,0,0,9,0,0,,,"C","Established","Not_Success"
100000287,"A00141",49,,,,,,,,,,,517,32,"C","Established","Not_Success"
100000288,"A00129",32,,,,,,,,,,,,,"S","Established","Not_Success"
100000289,"A00149",50,5,2132017,84284,2054885,0,0,0,8,0,0,,,"S","Established","Not_Success"
100000290,"A00143",97,,844226918,25880659,236722690,0,0,206108788,10151,140509,0,,,"C","Established","Not_Success"
100000291,"A0074",29,,,,,,,,,,,,,"M","Established","Not_Success"
100000292,"A0068",54,,,,,,,,,,,378,38,"C","Established","Not_Success"
100000293,"A00143",91,,8285413,114423,7,0,0,0,12194,0,0,7565,116,"C","Established","Not_Success"
100000294,"A0083",37,,,,,,,,,,,,,"P","Established","Not_Success"
